# 2025-03-14 12:10:51 EET
NAnsw,File,Key,Quest,Discrepancies?,IdxCorrect,AnsKeys,Answer1,Answer2,Answer3,"Other Answers..."
2,inputs/yaml/acs_energy_letters.yaml,data_fair:,"4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR)",false,,"0:,1:","Public data sharing on a FAIR repository encouraged.","Public data sharing on a FAIR repository encouraged."
2,inputs/yaml/acs_energy_letters.yaml,data_availability:,"2. Data availability statement",false,,"0:,1:","Mentioned in the RDP but optional.","Mentioned in the RDP but optional."
2,inputs/yaml/acs_energy_letters.yaml,data_citability:,"5. Citability and findability of data ",false,,"0:,1:","DOIs or other persistent identifiers recommended for datasets or codes.","DOIs or other persistent identifiers recommended for datasets or codes."
2,inputs/yaml/acs_energy_letters.yaml,data_timing:,"7. Timing of data release",true,0,"0:,1:","Required data must be available after an embargo period.","Required data must be available prior to official publication."
2,inputs/yaml/acs_energy_letters.yaml,data_sharing_method:,"8. Recommended data sharing method",true,0,"0:,1:","Public online repositories recommended in RDP.","Data sharing in supplementary material or hosting by journal recommended in RDP."
2,inputs/yaml/acs_energy_letters.yaml,data_licenses:,"9. Recommended/required licenses",false,,"0:,1:","Explicit mention of a certain license/license type in RDP.","Explicit mention of a certain license/license type in RDP."
2,inputs/yaml/acs_energy_letters.yaml,data_referee:,"10. Referee guidelines concerning research data",false,,"0:,1:","Data sharing policy not mentioned in refereeing guidelines.","Data sharing policy not mentioned in refereeing guidelines."
2,inputs/yaml/acs_energy_letters.yaml,data_recommended:,"11. Unique policies for data types Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)",true,1,"0:,1:","No explicit mention, links to the following items are available   Best Practices in Reporting Experimental Results  Teams of ACS editors have identified best practices in certain fields to guide Authors in the reporting of experimental results. Please refer to them, as needed: Best Practices for the Reporting of Colloidal Inorganic Nanomaterials Best Practices for Reporting on Energy Storage Best Practices in Perovskite Solar Cell Efficiency Measurements. Avoiding the Error of Making Bad Cells Look Good Best Practices for Reporting on Heterogeneous Photocatalysis Best Practice in Photocatalysis: Comparing Rates or Apparent Quantum Yields? How to Submit a Previously Rejected Manuscript to ACS Energy Letters ","no text."
2,inputs/yaml/acs_energy_letters.yaml,data_required:,"12. Unique policies for data types Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)",true,1,"0:,1:",.nan,"no text."
2,inputs/yaml/acs_energy_letters.yaml,code_required:,"13. Code sharing requirements",false,,"0:,1:","Code sharing not mentioned.","Code sharing not mentioned."
2,inputs/yaml/acs_energy_letters.yaml,code_reproducibility:,"14. Code Reproducibility",false,,"0:,1:","No mention of dependencies for research code.","No mention of dependencies for research code."
2,inputs/yaml/acs_energy_letters.yaml,code_versioning:,"15. Versioning and persistent identifiers",false,,"0:,1:","No mention of a persistent identifier or specifying a version of developed code.","No mention of a persistent identifier or specifying a version of developed code."
2,inputs/yaml/acs_energy_letters.yaml,code_quality:,"16. Code Quality Standards",false,,"0:,1:","The journal policies do not mention any code quality standards.","The journal policies do not mention any code quality standards."
